sample	samples	chr8:128220111-128221962:-	cancer type abbreviation
TCGA-AB-2936-03	TCGA-AB-2936-03	0.0684	LAML
TCGA-CZ-5464-01	TCGA-CZ-5464-01	0.0684	KIRC
TCGA-V5-AASV-01	TCGA-V5-AASV-01	0.0684	ESCA
TCGA-DD-A4NP-01	TCGA-DD-A4NP-01	0.0682	LIHC
TCGA-G3-A25U-01	TCGA-G3-A25U-01	0.0679	LIHC
TCGA-RC-A7SH-01	TCGA-RC-A7SH-01	0.0679	LIHC
TCGA-UB-A7MA-01	TCGA-UB-A7MA-01	0.0679	LIHC
TCGA-P3-A5QE-01	TCGA-P3-A5QE-01	0.0679	HNSC
TCGA-HE-7128-01	TCGA-HE-7128-01	0.0678	KIRP
TCGA-A5-A3LP-01	TCGA-A5-A3LP-01	0.0676	UCEC
TCGA-CJ-4918-01	TCGA-CJ-4918-01	0.0675	KIRC
TCGA-BP-4973-01	TCGA-BP-4973-01	0.0674	KIRC
TCGA-XS-A8TJ-01	TCGA-XS-A8TJ-01	0.0674	CESC
TCGA-AB-2986-03	TCGA-AB-2986-03	0.0673	LAML
TCGA-BP-4789-01	TCGA-BP-4789-01	0.0672	KIRC
TCGA-D8-A13Z-01	TCGA-D8-A13Z-01	0.0671	BRCA
TCGA-95-A4VK-01	TCGA-95-A4VK-01	0.067	LUAD
TCGA-AB-2980-03	TCGA-AB-2980-03	0.067	LAML
TCGA-AB-2839-03	TCGA-AB-2839-03	0.0669	LAML
TCGA-61-2095-01	TCGA-61-2095-01	0.0667	OV
TCGA-AB-2881-03	TCGA-AB-2881-03	0.0667	LAML
TCGA-97-7547-01	TCGA-97-7547-01	0.0666	LUAD
TCGA-ZF-A9R5-01	TCGA-ZF-A9R5-01	0.0665	BLCA
TCGA-CJ-4873-01	TCGA-CJ-4873-01	0.0664	KIRC
TCGA-CJ-6031-01	TCGA-CJ-6031-01	0.0663	KIRC
TCGA-FL-A1YF-11	TCGA-FL-A1YF-11	0.0663	
TCGA-FB-A7DR-01	TCGA-FB-A7DR-01	0.0661	PAAD
TCGA-G2-A2EK-01	TCGA-G2-A2EK-01	0.0661	BLCA
TCGA-D3-A3C8-06	TCGA-D3-A3C8-06	0.0658	SKCM
TCGA-34-5928-01	TCGA-34-5928-01	0.0656	LUSC
TCGA-IQ-A6SH-01	TCGA-IQ-A6SH-01	0.0655	HNSC
TCGA-B8-5159-01	TCGA-B8-5159-01	0.0654	KIRC
TCGA-BP-4987-01	TCGA-BP-4987-01	0.0654	KIRC
TCGA-43-3394-11	TCGA-43-3394-11	0.0653	LUSC
TCGA-A4-8311-01	TCGA-A4-8311-01	0.0653	KIRP
TCGA-AL-3473-01	TCGA-AL-3473-01	0.0653	KIRP
TCGA-CZ-5461-11	TCGA-CZ-5461-11	0.0652	KIRC
TCGA-CQ-A4CD-01	TCGA-CQ-A4CD-01	0.0651	HNSC
TCGA-GS-A9TV-01	TCGA-GS-A9TV-01	0.0651	DLBC
TCGA-CR-7372-01	TCGA-CR-7372-01	0.065	HNSC
TCGA-13-0730-01	TCGA-13-0730-01	0.0649	OV
TCGA-29-1762-01	TCGA-29-1762-01	0.0649	OV
TCGA-13-1411-01	TCGA-13-1411-01	0.0646	OV
TCGA-DI-A1BU-01	TCGA-DI-A1BU-01	0.0645	UCEC
TCGA-AB-2860-03	TCGA-AB-2860-03	0.0645	LAML
TCGA-75-6207-01	TCGA-75-6207-01	0.0643	LUAD
TCGA-5P-A9JW-01	TCGA-5P-A9JW-01	0.0643	KIRP
TCGA-05-4425-01	TCGA-05-4425-01	0.0641	LUAD
TCGA-B0-5709-01	TCGA-B0-5709-01	0.0641	KIRC
TCGA-EA-A3QE-01	TCGA-EA-A3QE-01	0.064	CESC
TCGA-C5-A3HF-01	TCGA-C5-A3HF-01	0.0639	CESC
TCGA-FU-A57G-01	TCGA-FU-A57G-01	0.0639	CESC
TCGA-85-7844-01	TCGA-85-7844-01	0.0637	LUSC
TCGA-FD-A43N-01	TCGA-FD-A43N-01	0.0637	BLCA
TCGA-43-3920-01	TCGA-43-3920-01	0.0635	LUSC
TCGA-BA-4076-01	TCGA-BA-4076-01	0.0635	HNSC
TCGA-CR-7401-01	TCGA-CR-7401-01	0.0634	HNSC
TCGA-BH-A0B1-01	TCGA-BH-A0B1-01	0.0634	BRCA
TCGA-BP-5000-01	TCGA-BP-5000-01	0.0633	KIRC
TCGA-BP-4332-01	TCGA-BP-4332-01	0.0631	KIRC
TCGA-2G-AAH4-01	TCGA-2G-AAH4-01	0.063	TGCT
TCGA-B8-5553-01	TCGA-B8-5553-01	0.0627	KIRC
TCGA-CZ-4856-01	TCGA-CZ-4856-01	0.0626	KIRC
TCGA-CZ-5986-01	TCGA-CZ-5986-01	0.0625	KIRC
TCGA-CV-A6JN-01	TCGA-CV-A6JN-01	0.0625	HNSC
TCGA-B1-A47M-01	TCGA-B1-A47M-01	0.0624	KIRP
TCGA-CZ-5454-11	TCGA-CZ-5454-11	0.0624	KIRC
TCGA-05-4249-01	TCGA-05-4249-01	0.0623	LUAD
TCGA-QK-A64Z-01	TCGA-QK-A64Z-01	0.0623	HNSC
TCGA-DD-A4NE-01	TCGA-DD-A4NE-01	0.0622	LIHC
TCGA-2Z-A9JR-01	TCGA-2Z-A9JR-01	0.0622	KIRP
TCGA-CV-5977-01	TCGA-CV-5977-01	0.0622	HNSC
TCGA-AA-3517-11	TCGA-AA-3517-11	0.0622	COAD
TCGA-CJ-4907-01	TCGA-CJ-4907-01	0.0621	KIRC
TCGA-CJ-5675-01	TCGA-CJ-5675-01	0.0621	KIRC
TCGA-EJ-5494-01	TCGA-EJ-5494-01	0.062	PRAD
TCGA-43-6773-01	TCGA-43-6773-01	0.062	LUSC
TCGA-05-4384-01	TCGA-05-4384-01	0.062	LUAD
TCGA-AB-2917-03	TCGA-AB-2917-03	0.0619	LAML
TCGA-BP-5184-01	TCGA-BP-5184-01	0.0617	KIRC
TCGA-CZ-4863-01	TCGA-CZ-4863-01	0.0617	KIRC
TCGA-CZ-5988-01	TCGA-CZ-5988-01	0.0617	KIRC
TCGA-KN-8429-11	TCGA-KN-8429-11	0.0617	KICH
TCGA-BL-A0C8-01	TCGA-BL-A0C8-01	0.0617	BLCA
TCGA-66-2789-01	TCGA-66-2789-01	0.0615	LUSC
TCGA-CZ-4853-01	TCGA-CZ-4853-01	0.0615	KIRC
TCGA-LN-A49M-01	TCGA-LN-A49M-01	0.0615	ESCA
TCGA-DS-A0VN-01	TCGA-DS-A0VN-01	0.0614	CESC
TCGA-B0-4843-01	TCGA-B0-4843-01	0.0613	KIRC
TCGA-CZ-5452-01	TCGA-CZ-5452-01	0.0613	KIRC
TCGA-AB-2975-03	TCGA-AB-2975-03	0.0612	LAML
TCGA-31-1959-01	TCGA-31-1959-01	0.0611	OV
TCGA-J7-6720-01	TCGA-J7-6720-01	0.0608	KIRP
TCGA-B8-4619-11	TCGA-B8-4619-11	0.0607	KIRC
TCGA-YC-A89H-01	TCGA-YC-A89H-01	0.0607	BLCA
TCGA-AB-2973-03	TCGA-AB-2973-03	0.0606	LAML
TCGA-KP-A3W4-01	TCGA-KP-A3W4-01	0.0605	UCEC
TCGA-AB-2838-03	TCGA-AB-2838-03	0.0605	LAML
TCGA-BP-4803-01	TCGA-BP-4803-01	0.0605	KIRC
TCGA-FV-A3I1-11	TCGA-FV-A3I1-11	0.0603	LIHC
TCGA-AB-2933-03	TCGA-AB-2933-03	0.0603	LAML
TCGA-HE-A5NK-01	TCGA-HE-A5NK-01	0.0603	KIRP
TCGA-CV-A6JU-01	TCGA-CV-A6JU-01	0.0603	HNSC
TCGA-MT-A7BN-01	TCGA-MT-A7BN-01	0.0603	HNSC
TCGA-ZF-AA5N-01	TCGA-ZF-AA5N-01	0.0603	BLCA
TCGA-09-1668-01	TCGA-09-1668-01	0.0602	OV
TCGA-A3-3370-01	TCGA-A3-3370-01	0.0601	KIRC
TCGA-C5-A1ME-01	TCGA-C5-A1ME-01	0.0601	CESC
TCGA-BP-4169-01	TCGA-BP-4169-01	0.06	KIRC
TCGA-BQ-5888-01	TCGA-BQ-5888-01	0.0599	KIRP
TCGA-AK-3434-01	TCGA-AK-3434-01	0.0599	KIRC
TCGA-AB-2927-03	TCGA-AB-2927-03	0.0598	LAML
TCGA-CH-5764-01	TCGA-CH-5764-01	0.0597	PRAD
TCGA-77-A5FZ-01	TCGA-77-A5FZ-01	0.0597	LUSC
TCGA-JY-A6FE-01	TCGA-JY-A6FE-01	0.0597	ESCA
TCGA-FD-A6TB-01	TCGA-FD-A6TB-01	0.0597	BLCA
TCGA-BC-A10Q-01	TCGA-BC-A10Q-01	0.0596	LIHC
TCGA-35-3615-01	TCGA-35-3615-01	0.0595	LUAD
TCGA-B0-5402-11	TCGA-B0-5402-11	0.0595	KIRC
TCGA-78-7147-01	TCGA-78-7147-01	0.0594	LUAD
TCGA-B1-A657-01	TCGA-B1-A657-01	0.0592	KIRP
TCGA-AB-2865-03	TCGA-AB-2865-03	0.0591	LAML
TCGA-CZ-5461-01	TCGA-CZ-5461-01	0.059	KIRC
TCGA-KL-8326-11	TCGA-KL-8326-11	0.0588	KICH
TCGA-BQ-7059-11	TCGA-BQ-7059-11	0.0585	KIRP
TCGA-GL-6846-01	TCGA-GL-6846-01	0.0585	KIRP
TCGA-BP-5177-01	TCGA-BP-5177-01	0.0585	KIRC
TCGA-CZ-5470-01	TCGA-CZ-5470-01	0.0585	KIRC
TCGA-CZ-5463-11	TCGA-CZ-5463-11	0.0583	KIRC
TCGA-B6-A0RI-01	TCGA-B6-A0RI-01	0.0581	BRCA
TCGA-2G-AAM3-01	TCGA-2G-AAM3-01	0.0581	
TCGA-K4-A3WS-01	TCGA-K4-A3WS-01	0.058	BLCA
TCGA-BP-4965-01	TCGA-BP-4965-01	0.0579	KIRC
TCGA-2G-AAGG-01	TCGA-2G-AAGG-01	0.0578	TGCT
TCGA-UF-A7JV-01	TCGA-UF-A7JV-01	0.0578	HNSC
TCGA-23-2078-01	TCGA-23-2078-01	0.0577	OV
TCGA-62-A46P-01	TCGA-62-A46P-01	0.0577	LUAD
TCGA-78-7149-01	TCGA-78-7149-01	0.0577	LUAD
TCGA-MP-A4TJ-01	TCGA-MP-A4TJ-01	0.0577	LUAD
TCGA-CQ-5331-01	TCGA-CQ-5331-01	0.0577	HNSC
TCGA-WE-A8ZM-06	TCGA-WE-A8ZM-06	0.0576	SKCM
TCGA-D8-A1JL-01	TCGA-D8-A1JL-01	0.0575	BRCA
TCGA-DD-A114-01	TCGA-DD-A114-01	0.0574	LIHC
TCGA-AO-A0JC-01	TCGA-AO-A0JC-01	0.0574	BRCA
TCGA-AJ-A3NC-01	TCGA-AJ-A3NC-01	0.0572	UCEC
TCGA-2G-AAFV-01	TCGA-2G-AAFV-01	0.0571	TGCT
TCGA-75-5147-01	TCGA-75-5147-01	0.0571	LUAD
TCGA-B0-5402-01	TCGA-B0-5402-01	0.0571	KIRC
TCGA-ER-A19J-06	TCGA-ER-A19J-06	0.057	SKCM
TCGA-G3-A7M5-01	TCGA-G3-A7M5-01	0.0569	LIHC
TCGA-B4-5378-01	TCGA-B4-5378-01	0.0569	KIRC
TCGA-CN-A49C-01	TCGA-CN-A49C-01	0.0568	HNSC
TCGA-A4-8630-01	TCGA-A4-8630-01	0.0567	KIRP
TCGA-B0-4836-01	TCGA-B0-4836-01	0.0567	KIRC
TCGA-CJ-6033-11	TCGA-CJ-6033-11	0.0567	KIRC
TCGA-44-6778-01	TCGA-44-6778-01	0.0566	LUAD
TCGA-GK-A6C7-01	TCGA-GK-A6C7-01	0.0566	KIRC
TCGA-L5-A43C-11	TCGA-L5-A43C-11	0.0566	ESCA
TCGA-G7-A8LB-01	TCGA-G7-A8LB-01	0.0565	KIRP
TCGA-BP-5199-01	TCGA-BP-5199-01	0.0565	KIRC
TCGA-BH-A0B8-01	TCGA-BH-A0B8-01	0.0565	BRCA
TCGA-CZ-5458-01	TCGA-CZ-5458-01	0.0564	KIRC
TCGA-UZ-A9PS-01	TCGA-UZ-A9PS-01	0.0563	KIRP
TCGA-2Z-A9JI-01	TCGA-2Z-A9JI-01	0.0561	KIRP
TCGA-AK-3454-01	TCGA-AK-3454-01	0.0561	KIRC
TCGA-B8-4620-01	TCGA-B8-4620-01	0.0561	KIRC
TCGA-LN-A7HX-01	TCGA-LN-A7HX-01	0.0561	ESCA
TCGA-DK-AA6M-01	TCGA-DK-AA6M-01	0.0561	BLCA
TCGA-B0-5119-01	TCGA-B0-5119-01	0.0559	KIRC
TCGA-IN-8663-01	TCGA-IN-8663-01	0.0557	STAD
TCGA-05-4402-01	TCGA-05-4402-01	0.0557	LUAD
TCGA-CC-5264-01	TCGA-CC-5264-01	0.0557	LIHC
TCGA-WW-A8ZI-01	TCGA-WW-A8ZI-01	0.0556	PRAD
TCGA-61-2109-01	TCGA-61-2109-01	0.0556	OV
TCGA-BP-5200-01	TCGA-BP-5200-01	0.0556	KIRC
TCGA-SX-A71V-01	TCGA-SX-A71V-01	0.0555	KIRP
TCGA-LN-A4A9-01	TCGA-LN-A4A9-01	0.0555	ESCA
TCGA-2Z-A9JQ-01	TCGA-2Z-A9JQ-01	0.0554	KIRP
TCGA-MH-A561-01	TCGA-MH-A561-01	0.0554	KIRP
TCGA-C5-A7CJ-01	TCGA-C5-A7CJ-01	0.0554	CESC
TCGA-QS-A8F1-01	TCGA-QS-A8F1-01	0.0553	UCEC
TCGA-DX-A6YX-01	TCGA-DX-A6YX-01	0.0552	SARC
TCGA-25-1319-01	TCGA-25-1319-01	0.0552	OV
TCGA-BP-5010-01	TCGA-BP-5010-01	0.0551	KIRC
TCGA-BP-5176-01	TCGA-BP-5176-01	0.0551	KIRC
TCGA-BP-4164-01	TCGA-BP-4164-01	0.055	KIRC
TCGA-2Z-A9J7-01	TCGA-2Z-A9J7-01	0.0549	KIRP
TCGA-FP-8209-01	TCGA-FP-8209-01	0.0548	STAD
TCGA-AB-2983-03	TCGA-AB-2983-03	0.0547	LAML
TCGA-BH-A0AW-01	TCGA-BH-A0AW-01	0.0547	BRCA
TCGA-43-6143-01	TCGA-43-6143-01	0.0546	LUSC
TCGA-VS-A9UQ-01	TCGA-VS-A9UQ-01	0.0546	CESC
TCGA-DD-AAVQ-01	TCGA-DD-AAVQ-01	0.0545	LIHC
TCGA-E7-A4IJ-01	TCGA-E7-A4IJ-01	0.0545	BLCA
TCGA-UY-A9PF-01	TCGA-UY-A9PF-01	0.0545	BLCA
TCGA-AB-2972-03	TCGA-AB-2972-03	0.0544	LAML
TCGA-QK-A6IF-01	TCGA-QK-A6IF-01	0.0544	HNSC
TCGA-B5-A5OE-01	TCGA-B5-A5OE-01	0.0543	UCEC
TCGA-DV-5567-01	TCGA-DV-5567-01	0.0542	KIRC
TCGA-C5-A8XI-01	TCGA-C5-A8XI-01	0.0542	CESC
TCGA-K4-A5RI-11	TCGA-K4-A5RI-11	0.0542	BLCA
TCGA-DF-A2KV-01	TCGA-DF-A2KV-01	0.0541	UCEC
TCGA-AO-A0JF-01	TCGA-AO-A0JF-01	0.0541	BRCA
TCGA-CZ-4866-01	TCGA-CZ-4866-01	0.054	KIRC
TCGA-3U-A98J-01	TCGA-3U-A98J-01	0.0539	MESO
TCGA-BT-A3PH-01	TCGA-BT-A3PH-01	0.0539	BLCA
TCGA-24-1434-01	TCGA-24-1434-01	0.0538	OV
TCGA-61-2003-01	TCGA-61-2003-01	0.0538	OV
TCGA-DD-A73E-01	TCGA-DD-A73E-01	0.0537	LIHC
TCGA-56-8201-01	TCGA-56-8201-01	0.0536	LUSC
TCGA-DD-AACG-01	TCGA-DD-AACG-01	0.0536	LIHC
TCGA-B0-4823-01	TCGA-B0-4823-01	0.0535	KIRC
TCGA-BP-4345-01	TCGA-BP-4345-01	0.0535	KIRC
TCGA-CZ-5467-01	TCGA-CZ-5467-01	0.0535	KIRC
TCGA-BH-A0GZ-01	TCGA-BH-A0GZ-01	0.0534	BRCA
TCGA-DA-A1IB-06	TCGA-DA-A1IB-06	0.0533	SKCM
TCGA-BQ-5882-11	TCGA-BQ-5882-11	0.0531	KIRP
TCGA-AO-A1KS-01	TCGA-AO-A1KS-01	0.0531	BRCA
TCGA-A3-3373-01	TCGA-A3-3373-01	0.053	KIRC
TCGA-61-2111-01	TCGA-61-2111-01	0.0529	OV
TCGA-J2-8194-01	TCGA-J2-8194-01	0.0529	LUAD
TCGA-56-8628-01	TCGA-56-8628-01	0.0528	LUSC
TCGA-BQ-5891-11	TCGA-BQ-5891-11	0.0528	KIRP
TCGA-GH-A9DA-01	TCGA-GH-A9DA-01	0.0528	CESC
TCGA-AA-3534-11	TCGA-AA-3534-11	0.0527	COAD
TCGA-FX-A2QS-11	TCGA-FX-A2QS-11	0.0526	SARC
TCGA-DQ-5624-01	TCGA-DQ-5624-01	0.0525	HNSC
TCGA-G3-A3CI-01	TCGA-G3-A3CI-01	0.0524	LIHC
TCGA-CJ-6030-11	TCGA-CJ-6030-11	0.0523	KIRC
TCGA-KN-8435-11	TCGA-KN-8435-11	0.0523	KICH
TCGA-C9-A47Z-01	TCGA-C9-A47Z-01	0.0522	HNSC
TCGA-56-6546-01	TCGA-56-6546-01	0.0521	LUSC
TCGA-CW-5590-01	TCGA-CW-5590-01	0.0521	KIRC
TCGA-A8-A07U-01	TCGA-A8-A07U-01	0.0521	BRCA
TCGA-CF-A3MF-01	TCGA-CF-A3MF-01	0.0521	BLCA
TCGA-FS-A1YW-06	TCGA-FS-A1YW-06	0.0519	SKCM
TCGA-US-A77J-01	TCGA-US-A77J-01	0.0519	PAAD
TCGA-CW-5589-01	TCGA-CW-5589-01	0.0519	KIRC
TCGA-VR-AA7I-01	TCGA-VR-AA7I-01	0.0519	ESCA
TCGA-29-1710-01	TCGA-29-1710-01	0.0517	OV
TCGA-BQ-5891-01	TCGA-BQ-5891-01	0.0517	KIRP
TCGA-B0-4945-01	TCGA-B0-4945-01	0.0517	KIRC
TCGA-BP-4768-01	TCGA-BP-4768-01	0.0517	KIRC
TCGA-D6-A4Z9-01	TCGA-D6-A4Z9-01	0.0517	HNSC
TCGA-A3-3322-01	TCGA-A3-3322-01	0.0516	KIRC
TCGA-A2-A0EQ-01	TCGA-A2-A0EQ-01	0.0516	BRCA
TCGA-AB-2903-03	TCGA-AB-2903-03	0.0515	LAML
TCGA-BP-4804-01	TCGA-BP-4804-01	0.0515	KIRC
TCGA-BQ-5887-11	TCGA-BQ-5887-11	0.0514	KIRP
TCGA-B0-5693-01	TCGA-B0-5693-01	0.0514	KIRC
TCGA-G6-A8L7-01	TCGA-G6-A8L7-01	0.0514	KIRC
TCGA-BB-7866-01	TCGA-BB-7866-01	0.0514	HNSC
TCGA-AB-2978-03	TCGA-AB-2978-03	0.0513	LAML
TCGA-B0-4688-01	TCGA-B0-4688-01	0.0513	KIRC
TCGA-55-8089-01	TCGA-55-8089-01	0.0511	LUAD
TCGA-AK-3451-01	TCGA-AK-3451-01	0.0511	KIRC
TCGA-A3-3385-01	TCGA-A3-3385-01	0.0509	KIRC
TCGA-CQ-7071-01	TCGA-CQ-7071-01	0.0508	HNSC
TCGA-CU-A0YN-01	TCGA-CU-A0YN-01	0.0508	BLCA
TCGA-85-A4JB-01	TCGA-85-A4JB-01	0.0507	LUSC
TCGA-AB-2895-03	TCGA-AB-2895-03	0.0507	LAML
TCGA-BP-5173-01	TCGA-BP-5173-01	0.0506	KIRC
TCGA-AB-2898-03	TCGA-AB-2898-03	0.0505	LAML
TCGA-A3-3306-01	TCGA-A3-3306-01	0.0504	KIRC
TCGA-B0-4821-01	TCGA-B0-4821-01	0.0504	KIRC
TCGA-UC-A7PD-01	TCGA-UC-A7PD-01	0.0504	CESC
TCGA-CF-A3MG-01	TCGA-CF-A3MG-01	0.0502	BLCA
TCGA-BP-4758-01	TCGA-BP-4758-01	0.0501	KIRC
TCGA-BH-A0GY-01	TCGA-BH-A0GY-01	0.0501	BRCA
TCGA-EJ-7330-01	TCGA-EJ-7330-01	0.0499	PRAD
TCGA-95-A4VP-01	TCGA-95-A4VP-01	0.0499	LUAD
TCGA-HW-A5KL-01	TCGA-HW-A5KL-01	0.0498	LGG
TCGA-AJ-A3BD-01	TCGA-AJ-A3BD-01	0.0497	UCEC
TCGA-CJ-5686-01	TCGA-CJ-5686-01	0.0496	KIRC
TCGA-BH-A0E2-01	TCGA-BH-A0E2-01	0.0496	BRCA
TCGA-E7-A4XJ-01	TCGA-E7-A4XJ-01	0.0496	BLCA
TCGA-ZF-AA4V-01	TCGA-ZF-AA4V-01	0.0496	BLCA
TCGA-44-A47A-01	TCGA-44-A47A-01	0.0494	LUAD
TCGA-DD-AADV-01	TCGA-DD-AADV-01	0.0494	LIHC
TCGA-B0-5077-01	TCGA-B0-5077-01	0.0494	KIRC
TCGA-KL-8339-11	TCGA-KL-8339-11	0.0493	KICH
TCGA-BB-4224-01	TCGA-BB-4224-01	0.0493	HNSC
TCGA-V5-A7RC-06	TCGA-V5-A7RC-06	0.0493	ESCA
TCGA-B8-A54F-01	TCGA-B8-A54F-01	0.0492	KIRC
TCGA-GV-A3QI-01	TCGA-GV-A3QI-01	0.0492	BLCA
TCGA-MR-A520-01	TCGA-MR-A520-01	0.0491	LIHC
TCGA-CR-5243-01	TCGA-CR-5243-01	0.0491	HNSC
TCGA-EY-A1GO-01	TCGA-EY-A1GO-01	0.049	UCEC
TCGA-AL-A5DJ-01	TCGA-AL-A5DJ-01	0.049	KIRP
TCGA-10-0936-01	TCGA-10-0936-01	0.0489	OV
TCGA-93-7347-01	TCGA-93-7347-01	0.0489	LUAD
TCGA-44-7662-01	TCGA-44-7662-01	0.0488	LUAD
TCGA-BH-A5IZ-01	TCGA-BH-A5IZ-01	0.0488	BRCA
TCGA-KN-8419-11	TCGA-KN-8419-11	0.0487	KICH
TCGA-GN-A8LL-06	TCGA-GN-A8LL-06	0.0486	SKCM
TCGA-V1-A9OH-01	TCGA-V1-A9OH-01	0.0486	PRAD
TCGA-BQ-5879-11	TCGA-BQ-5879-11	0.0485	KIRP
TCGA-B0-4819-01	TCGA-B0-4819-01	0.0485	KIRC
TCGA-D3-A51R-06	TCGA-D3-A51R-06	0.0484	SKCM
TCGA-29-2425-01	TCGA-29-2425-01	0.0484	OV
TCGA-KP-A3W3-01	TCGA-KP-A3W3-01	0.0483	UCEC
TCGA-AB-2805-03	TCGA-AB-2805-03	0.0482	LAML
TCGA-FD-A3SN-01	TCGA-FD-A3SN-01	0.0482	BLCA
TCGA-BQ-5877-11	TCGA-BQ-5877-11	0.048	KIRP
TCGA-BQ-7045-01	TCGA-BQ-7045-01	0.0479	KIRP
TCGA-AB-2862-03	TCGA-AB-2862-03	0.0477	LAML
TCGA-51-4079-11	TCGA-51-4079-11	0.0476	LUSC
TCGA-2G-AALS-01	TCGA-2G-AALS-01	0.0476	
TCGA-CZ-4858-01	TCGA-CZ-4858-01	0.0474	KIRC
TCGA-BH-A1ES-06	TCGA-BH-A1ES-06	0.0474	BRCA
TCGA-UF-A7JC-01	TCGA-UF-A7JC-01	0.0473	HNSC
TCGA-09-0364-01	TCGA-09-0364-01	0.0471	OV
TCGA-DW-7842-01	TCGA-DW-7842-01	0.0471	KIRP
TCGA-B2-4102-01	TCGA-B2-4102-01	0.0471	KIRC
TCGA-E2-A576-01	TCGA-E2-A576-01	0.0471	BRCA
TCGA-94-8491-01	TCGA-94-8491-01	0.047	LUSC
TCGA-2Z-A9JP-01	TCGA-2Z-A9JP-01	0.047	KIRP
TCGA-B2-A4SR-01	TCGA-B2-A4SR-01	0.047	KIRC
TCGA-AB-2955-03	TCGA-AB-2955-03	0.0468	LAML
TCGA-2G-AAGF-01	TCGA-2G-AAGF-01	0.0466	TGCT
TCGA-33-AASI-01	TCGA-33-AASI-01	0.0466	LUSC
TCGA-AB-2807-03	TCGA-AB-2807-03	0.0466	LAML
TCGA-VS-A9V3-01	TCGA-VS-A9V3-01	0.0466	CESC
TCGA-36-1577-01	TCGA-36-1577-01	0.0465	OV
TCGA-CR-7386-01	TCGA-CR-7386-01	0.0465	HNSC
TCGA-23-1026-01	TCGA-23-1026-01	0.0464	OV
TCGA-ED-A82E-01	TCGA-ED-A82E-01	0.0464	LIHC
TCGA-XJ-A83F-01	TCGA-XJ-A83F-01	0.0462	PRAD
TCGA-BP-4355-01	TCGA-BP-4355-01	0.0462	KIRC
TCGA-CW-6088-01	TCGA-CW-6088-01	0.0462	KIRC
TCGA-BP-4781-01	TCGA-BP-4781-01	0.0461	KIRC
TCGA-SC-A6LR-01	TCGA-SC-A6LR-01	0.046	MESO
TCGA-86-8674-01	TCGA-86-8674-01	0.046	LUAD
TCGA-X6-A8C5-01	TCGA-X6-A8C5-01	0.0459	SARC
TCGA-CV-6953-01	TCGA-CV-6953-01	0.0459	HNSC
TCGA-2G-AAKD-01	TCGA-2G-AAKD-01	0.0458	TGCT
TCGA-21-5783-01	TCGA-21-5783-01	0.0458	LUSC
TCGA-AB-2813-03	TCGA-AB-2813-03	0.0458	LAML
TCGA-E2-A1LL-01	TCGA-E2-A1LL-01	0.0457	BRCA
TCGA-S5-A6DX-01	TCGA-S5-A6DX-01	0.0457	BLCA
TCGA-AT-A5NU-01	TCGA-AT-A5NU-01	0.0456	KIRP
TCGA-2Z-A9JN-01	TCGA-2Z-A9JN-01	0.0455	KIRP
TCGA-ZJ-AAXN-01	TCGA-ZJ-AAXN-01	0.0455	CESC
TCGA-E2-A1AZ-01	TCGA-E2-A1AZ-01	0.0455	BRCA
TCGA-75-6206-01	TCGA-75-6206-01	0.0454	LUAD
TCGA-CZ-5453-01	TCGA-CZ-5453-01	0.0454	KIRC
TCGA-36-1580-01	TCGA-36-1580-01	0.0453	OV
TCGA-B6-A0IQ-01	TCGA-B6-A0IQ-01	0.0453	BRCA
TCGA-IA-A83T-01	TCGA-IA-A83T-01	0.0452	KIRP
TCGA-A8-A08C-01	TCGA-A8-A08C-01	0.0452	BRCA
TCGA-E9-A1RH-01	TCGA-E9-A1RH-01	0.0452	BRCA
TCGA-97-8179-01	TCGA-97-8179-01	0.0451	LUAD
TCGA-36-1575-01	TCGA-36-1575-01	0.045	OV
TCGA-CV-7423-01	TCGA-CV-7423-01	0.045	HNSC
TCGA-NC-A5HO-01	TCGA-NC-A5HO-01	0.0449	LUSC
TCGA-64-5781-01	TCGA-64-5781-01	0.0449	LUAD
TCGA-UB-A7MB-01	TCGA-UB-A7MB-01	0.0449	LIHC
TCGA-A3-3352-01	TCGA-A3-3352-01	0.0449	KIRC
TCGA-B0-5085-01	TCGA-B0-5085-01	0.0449	KIRC
TCGA-EU-5904-01	TCGA-EU-5904-01	0.0449	KIRC
TCGA-EK-A2IP-01	TCGA-EK-A2IP-01	0.0448	CESC
TCGA-UY-A78P-01	TCGA-UY-A78P-01	0.0448	BLCA
TCGA-BP-5181-01	TCGA-BP-5181-01	0.0446	KIRC
TCGA-CN-5366-01	TCGA-CN-5366-01	0.0446	HNSC
TCGA-5C-AAPD-01	TCGA-5C-AAPD-01	0.0444	LIHC
TCGA-A3-A6NI-01	TCGA-A3-A6NI-01	0.0444	KIRC
TCGA-B0-5692-01	TCGA-B0-5692-01	0.0443	KIRC
TCGA-3A-A9IR-01	TCGA-3A-A9IR-01	0.0442	PAAD
TCGA-13-1505-01	TCGA-13-1505-01	0.0442	OV
TCGA-86-8672-01	TCGA-86-8672-01	0.0442	LUAD
TCGA-AB-2879-03	TCGA-AB-2879-03	0.0441	LAML
TCGA-BP-5190-01	TCGA-BP-5190-01	0.0441	KIRC
TCGA-AB-2992-03	TCGA-AB-2992-03	0.044	LAML
TCGA-CJ-6033-01	TCGA-CJ-6033-01	0.044	KIRC
